,A,Age,Full_Name,G,GP,PTS,Pos,Season,Team
0,12,21.0,Adam Lowry,11,80,23,LW,2014,WPG
1,10,22.0,Adam Lowry,7,74,17,C,2015,WPG
2,14,23.0,Adam Lowry,15,82,29,C,2016,WPG
3,13,24.0,Adam Lowry,8,45,21,C,2017,WPG
4,0,23.0,Adam McQuaid,1,19,1,D,2009,BOS
5,12,24.0,Adam McQuaid,3,67,15,D,2010,BOS
6,8,25.0,Adam McQuaid,2,72,10,D,2011,BOS
7,3,26.0,Adam McQuaid,1,32,4,D,2012,BOS
8,5,27.0,Adam McQuaid,1,30,6,D,2013,BOS
9,6,28.0,Adam McQuaid,1,63,7,D,2014,BOS
10,8,29.0,Adam McQuaid,1,64,9,D,2015,BOS
11,8,30.0,Adam McQuaid,2,77,10,D,2016,BOS
12,3,31.0,Adam McQuaid,1,38,4,D,2017,BOS
13,8,21.0,Anders Bjork,4,30,12,LW,2017,BOS
14,5,21.0,Andreas Athanasiou,9,37,14,C,2015,DET
15,11,22.0,Andreas Athanasiou,18,64,29,C,2016,DET
16,17,23.0,Andreas Athanasiou,16,71,33,LW,2017,DET
17,1,20.0,Andrew Copp,0,1,1,C,2014,WPG
18,6,21.0,Andrew Copp,7,77,13,C,2015,WPG
19,8,22.0,Andrew Copp,9,64,17,C,2016,WPG
20,19,23.0,Andrew Copp,9,82,28,C,2017,WPG
21,1,21.0,Anthony Mantha,2,10,3,RW,2015,DET
22,19,22.0,Anthony Mantha,17,60,36,RW,2016,DET
23,24,23.0,Anthony Mantha,24,80,48,RW,2017,DET
24,1,21.0,Anton Blidh,1,19,2,LW,2016,BOS
25,0,22.0,Anton Blidh,0,1,0,LW,2017,BOS
26,8,24.0,Austin Czarnik,5,49,13,C,2016,BOS
27,4,25.0,Austin Czarnik,0,10,4,C,2017,BOS
28,0,22.0,Ben Chiarot,0,1,0,D,2013,WPG
29,6,23.0,Ben Chiarot,2,40,8,D,2014,WPG
30,9,24.0,Ben Chiarot,1,70,10,D,2015,WPG
31,10,25.0,Ben Chiarot,2,59,12,D,2016,WPG
32,12,26.0,Ben Chiarot,2,57,14,D,2017,WPG
33,24,22.0,Blake Wheeler,21,81,45,RW,2008,BOS
34,20,23.0,Blake Wheeler,18,82,38,RW,2009,BOS
35,26,24.0,Blake Wheeler,18,81,44,RW,2010,TOT
36,47,25.0,Blake Wheeler,17,80,64,RW,2011,WPG
37,22,26.0,Blake Wheeler,19,48,41,RW,2012,WPG
38,41,27.0,Blake Wheeler,28,82,69,RW,2013,WPG
39,35,28.0,Blake Wheeler,26,79,61,RW,2014,WPG
40,52,29.0,Blake Wheeler,26,82,78,RW,2015,WPG
41,48,30.0,Blake Wheeler,26,82,74,RW,2016,WPG
42,68,31.0,Blake Wheeler,23,81,91,RW,2017,WPG
43,1,21.0,Brad Marchand,0,20,1,C,2009,BOS
44,20,22.0,Brad Marchand,21,77,41,C,2010,BOS
45,27,23.0,Brad Marchand,28,76,55,C,2011,BOS
46,18,24.0,Brad Marchand,18,45,36,C,2012,BOS
47,28,25.0,Brad Marchand,25,82,53,LW,2013,BOS
48,18,26.0,Brad Marchand,24,77,42,LW/C,2014,BOS
49,24,27.0,Brad Marchand,37,77,61,LW,2015,BOS
50,46,28.0,Brad Marchand,39,80,85,LW,2016,BOS
51,51,29.0,Brad Marchand,34,68,85,LW,2017,BOS
52,10,20.0,Brandon Carlo,6,82,16,D,2016,BOS
53,6,21.0,Brandon Carlo,0,76,6,D,2017,BOS
54,0,24.0,Brandon Tanev,0,3,0,LW,2015,WPG
55,2,25.0,Brandon Tanev,2,51,4,LW,2016,WPG
56,10,26.0,Brandon Tanev,8,61,18,LW,2017,WPG
57,0,21.0,Brendan Lemieux,1,9,1,LW,2017,WPG
58,7,23.0,Brian Gionta,4,33,11,RW,2001,NJD
59,13,24.0,Brian Gionta,12,58,25,RW,2002,NJD
60,8,25.0,Brian Gionta,21,75,29,RW,2003,NJD
61,41,27.0,Brian Gionta,48,82,89,RW,2005,NJD
62,20,28.0,Brian Gionta,25,62,45,RW,2006,NJD
63,31,29.0,Brian Gionta,22,82,53,RW,2007,NJD
64,40,30.0,Brian Gionta,20,81,60,RW,2008,NJD
65,18,31.0,Brian Gionta,28,61,46,RW,2009,MTL
66,17,32.0,Brian Gionta,29,82,46,RW,2010,MTL
67,7,33.0,Brian Gionta,8,31,15,RW,2011,MTL
68,12,34.0,Brian Gionta,14,48,26,RW,2012,MTL
69,22,35.0,Brian Gionta,18,81,40,RW,2013,MTL
70,22,36.0,Brian Gionta,13,69,35,RW,2014,BUF
71,21,37.0,Brian Gionta,12,79,33,RW,2015,BUF
72,20,38.0,Brian Gionta,15,82,35,RW,2016,BUF
73,5,39.0,Brian Gionta,2,20,7,RW,2017,BOS
74,4,22.0,Brian Lashoff,1,31,5,D,2012,DET
75,5,23.0,Brian Lashoff,1,75,6,D,2013,DET
76,2,24.0,Brian Lashoff,0,11,2,D,2014,DET
77,0,26.0,Brian Lashoff,0,5,0,D,2016,DET
78,0,27.0,Brian Lashoff,0,1,0,D,2017,DET
79,10,20.0,Bryan Little,6,48,16,C,2007,ATL
80,20,21.0,Bryan Little,31,79,51,RW,2008,ATL
81,21,22.0,Bryan Little,13,79,34,C,2009,ATL
82,30,23.0,Bryan Little,18,76,48,C,2010,ATL
83,22,24.0,Bryan Little,24,74,46,C,2011,WPG
84,25,25.0,Bryan Little,7,48,32,C,2012,WPG
85,41,26.0,Bryan Little,23,82,64,RW,2013,WPG
86,28,27.0,Bryan Little,24,70,52,C,2014,WPG
87,25,28.0,Bryan Little,17,57,42,C,2015,WPG
88,26,29.0,Bryan Little,21,59,47,C,2016,WPG
89,27,30.0,Bryan Little,16,82,43,C,2017,WPG
90,25,20.0,Charlie McAvoy,7,63,32,D,2017,BOS
91,0,23.0,Colby Cave,0,3,0,C,2017,BOS
92,1,22.0,Danny DeKeyser,0,11,1,D,2012,DET
93,19,23.0,Danny DeKeyser,4,65,23,D,2013,DET
94,29,24.0,Danny DeKeyser,2,80,31,D,2014,DET
95,12,25.0,Danny DeKeyser,8,78,20,D,2015,DET
96,8,26.0,Danny DeKeyser,4,82,12,D,2016,DET
97,6,27.0,Danny DeKeyser,6,65,12,D,2017,DET
98,0,21.0,Danton Heinen,0,8,0,C,2016,BOS
99,31,22.0,Danton Heinen,16,77,47,C,2017,BOS
100,0,21.0,Darren Helm,0,7,0,C,2007,DET
101,1,22.0,Darren Helm,0,16,1,C,2008,DET
102,13,23.0,Darren Helm,11,75,24,C,2009,DET
103,20,24.0,Darren Helm,12,82,32,C,2010,DET
104,17,25.0,Darren Helm,9,68,26,C,2011,DET
105,0,26.0,Darren Helm,0,1,0,C,2012,DET
106,8,27.0,Darren Helm,12,42,20,C,2013,DET
107,18,28.0,Darren Helm,15,75,33,C,2014,DET
108,13,29.0,Darren Helm,13,77,26,C,2015,DET
109,9,30.0,Darren Helm,8,50,17,C,2016,DET
110,18,31.0,Darren Helm,13,75,31,LW,2017,DET
111,13,22.0,David Backes,10,49,23,C,2006,STL
112,18,23.0,David Backes,13,72,31,RW,2007,STL
113,23,24.0,David Backes,31,82,54,RW,2008,STL
114,31,25.0,David Backes,17,79,48,RW,2009,STL
115,31,26.0,David Backes,31,82,62,RW,2010,STL
