,A,Age,Full_Name,G,GP,PTS,Pos,Season,Team
0,12,21,Adam Lowry,11,80,23,LW,2014,WPG
1,10,22,Adam Lowry,7,74,17,C,2015,WPG
2,14,23,Adam Lowry,15,82,29,C,2016,WPG
3,13,24,Adam Lowry,8,45,21,C,2017,WPG
,12,12,Adam Lowry,12,82,12,LW,2019,WPG
,12,12,Adam Lowry,12,82,12,LW,2020,WPG
,12,12,Adam Lowry,12,82,12,LW,2021,WPG
,12,12,Adam Lowry,9,82,12,LW,2022,WPG
,12,12,Adam Lowry,6,82,12,LW,2023,WPG
4,5,21,Andreas Athanasiou,9,37,14,C,2015,DET
5,11,22,Andreas Athanasiou,18,64,29,C,2016,DET
6,17,23,Andreas Athanasiou,16,71,33,LW,2017,DET
,12,12,Andreas Athanasiou,21,82,12,LW,2019,DET
,12,12,Andreas Athanasiou,21,82,12,LW,2020,DET
,12,12,Andreas Athanasiou,21,82,12,LW,2021,DET
,12,12,Andreas Athanasiou,21,82,12,LW,2022,DET
,12,12,Andreas Athanasiou,19,82,12,LW,2023,DET
7,1,20,Andrew Copp,0,1,1,C,2014,WPG
8,6,21,Andrew Copp,7,77,13,C,2015,WPG
9,8,22,Andrew Copp,9,64,17,C,2016,WPG
10,19,23,Andrew Copp,9,82,28,C,2017,WPG
,12,12,Andrew Copp,0,82,12,LW,2019,WPG
,12,12,Andrew Copp,0,82,12,LW,2020,WPG
,12,12,Andrew Copp,0,82,12,LW,2021,WPG
,12,12,Andrew Copp,0,82,12,LW,2022,WPG
,12,12,Andrew Copp,0,82,12,LW,2023,WPG
11,1,21,Anthony Mantha,2,10,3,RW,2015,DET
12,19,22,Anthony Mantha,17,60,36,RW,2016,DET
13,24,23,Anthony Mantha,24,80,48,RW,2017,DET
,12,12,Anthony Mantha,22,82,12,LW,2019,DET
,12,12,Anthony Mantha,22,82,12,LW,2020,DET
,12,12,Anthony Mantha,22,82,12,LW,2021,DET
,12,12,Anthony Mantha,21,82,12,LW,2022,DET
,12,12,Anthony Mantha,21,82,12,LW,2023,DET
14,0,22,Ben Chiarot,0,1,0,D,2013,WPG
15,6,23,Ben Chiarot,2,40,8,D,2014,WPG
16,9,24,Ben Chiarot,1,70,10,D,2015,WPG
17,10,25,Ben Chiarot,2,59,12,D,2016,WPG
18,12,26,Ben Chiarot,2,57,14,D,2017,WPG
,12,12,Ben Chiarot,0,82,12,LW,2019,WPG
,12,12,Ben Chiarot,0,82,12,LW,2020,WPG
,12,12,Ben Chiarot,0,82,12,LW,2021,WPG
,12,12,Ben Chiarot,0,82,12,LW,2022,WPG
,12,12,Ben Chiarot,0,82,12,LW,2023,WPG
19,24,22,Blake Wheeler,21,81,45,RW,2008,BOS
20,20,23,Blake Wheeler,18,82,38,RW,2009,BOS
21,26,24,Blake Wheeler,18,81,44,RW,2010,TOT
22,47,25,Blake Wheeler,17,80,64,RW,2011,WPG
23,22,26,Blake Wheeler,19,48,41,RW,2012,WPG
24,41,27,Blake Wheeler,28,82,69,RW,2013,WPG
25,35,28,Blake Wheeler,26,79,61,RW,2014,WPG
26,52,29,Blake Wheeler,26,82,78,RW,2015,WPG
27,48,30,Blake Wheeler,26,82,74,RW,2016,WPG
28,68,31,Blake Wheeler,23,81,91,RW,2017,WPG
,12,12,Blake Wheeler,22,82,12,LW,2019,WPG
,12,12,Blake Wheeler,22,82,12,LW,2020,WPG
,12,12,Blake Wheeler,17,82,12,LW,2021,WPG
,12,12,Blake Wheeler,17,82,12,LW,2022,WPG
,12,12,Blake Wheeler,14,82,12,LW,2023,WPG
29,0,24,Brandon Tanev,0,3,0,LW,2015,WPG
30,2,25,Brandon Tanev,2,51,4,LW,2016,WPG
31,10,26,Brandon Tanev,8,61,18,LW,2017,WPG
,12,12,Brandon Tanev,0,82,12,LW,2019,WPG
,12,12,Brandon Tanev,0,82,12,LW,2020,WPG
,12,12,Brandon Tanev,0,82,12,LW,2021,WPG
,12,12,Brandon Tanev,0,82,12,LW,2022,WPG
,12,12,Brandon Tanev,0,82,12,LW,2023,WPG
32,0,21,Brendan Lemieux,1,9,1,LW,2017,WPG
,12,12,Brendan Lemieux,0,82,12,LW,2019,WPG
,12,12,Brendan Lemieux,0,82,12,LW,2020,WPG
,12,12,Brendan Lemieux,0,82,12,LW,2021,WPG
,12,12,Brendan Lemieux,0,82,12,LW,2022,WPG
,12,12,Brendan Lemieux,0,82,12,LW,2023,WPG
