,A,Age,Full_Name,G,GP,PTS,Pos,Season,Team
1364,11,22.0,Andreas Athanasiou,18,64,29,C,2016-17,DET
1365,17,23.0,Andreas Athanasiou,16,71,33,LW,2017-18,DET
1827,19,22.0,Anthony Mantha,17,60,36,RW,2016-17,DET
1828,24,23.0,Anthony Mantha,24,80,48,RW,2017-18,DET
2318,1,29.0,Ben Street,0,6,1,C,2016-17,DET
5067,0,26.0,Brian Lashoff,0,5,0,D,2016-17,DET
5068,0,27.0,Brian Lashoff,0,1,0,D,2017-18,DET
8247,0,22.0,Dan Renouf,0,1,0,D,2016-17,DET
8462,8,26.0,Danny DeKeyser,4,82,12,D,2016-17,DET
8463,6,27.0,Danny DeKeyser,6,65,12,D,2017-18,DET
8683,9,30.0,Darren Helm,8,50,17,C,2016-17,DET
8684,18,31.0,Darren Helm,13,75,31,LW,2017-18,DET
9555,1,33.0,David Booth,4,28,5,LW,2017-18,DET
10755,0,21.0,Dominic Turgeon,0,5,0,C,2017-18,DET
11481,2,32.0,Drew Miller,5,55,7,LW,2016-17,DET
11666,15,20.0,Dylan Larkin,17,80,32,C,2016-17,DET
11667,47,21.0,Dylan Larkin,16,82,63,C,2017-18,DET
12363,0,20.0,Evgeny Svechnikov,0,2,0,RW,2016-17,DET
12364,2,21.0,Evgeny Svechnikov,2,14,4,RW,2017-18,DET
12632,24,32.0,Frans Nielsen,17,79,41,C,2016-17,DET
12633,17,33.0,Frans Nielsen,16,79,33,C,2017-18,DET
14397,36,27.0,Gustav Nyquist,12,76,48,RW,2016-17,DET
14398,19,28.0,Gustav Nyquist,21,82,40,RW,2017-18,DET
14693,51,36.0,Henrik Zetterberg,17,82,68,LW,2016-17,DET
14694,45,37.0,Henrik Zetterberg,11,82,56,LW,2017-18,DET
17974,3,21.0,Joe Hicketts,0,5,3,D,2017-18,DET
19106,8,32.0,Jonathan Ericsson,1,51,9,D,2016-17,DET
19107,10,33.0,Jonathan Ericsson,3,81,13,D,2017-18,DET
19518,14,29.0,Justin Abdelkader,7,64,21,LW,2016-17,DET
19519,22,30.0,Justin Abdelkader,13,75,35,LW,2017-18,DET
21895,11,27.0,Luke Glendening,3,74,14,C,2016-17,DET
21896,8,28.0,Luke Glendening,11,69,19,RW,2017-18,DET
21933,3,27.0,Luke Witkowski,1,31,4,RW,2017-18,DET
23046,14,24.0,Martin Frk,11,68,25,RW,2017-18,DET
23799,1,26.0,Matthew Lorito,0,2,1,LW,2016-17,DET
24807,22,31.0,Mike Green,14,72,36,D,2016-17,DET
24808,25,32.0,Mike Green,8,66,33,D,2017-18,DET
25708,0,25.0,Mitch Callahan,0,4,0,RW,2016-17,DET
26198,9,26.0,Nick Jensen,4,49,13,D,2016-17,DET
26199,15,27.0,Nick Jensen,0,81,15,D,2017-18,DET
26462,11,36.0,Niklas Kronwall,2,57,13,D,2016-17,DET
26463,23,37.0,Niklas Kronwall,4,79,27,D,2017-18,DET
30420,11,25.0,Riley Sheahan,2,80,13,C,2016-17,DET
30421,0,26.0,Riley Sheahan,0,8,0,C,2017-18,DET
30693,0,23.0,Robbie Russo,0,19,0,D,2016-17,DET
31877,6,24.0,Ryan Sproul,1,27,7,D,2016-17,DET
35726,0,24.0,Tomas Nosek,1,11,1,LW,2016-17,DET
35769,21,26.0,Tomas Tatar,25,82,46,LW,2016-17,DET
36122,7,34.0,Trevor Daley,9,77,16,D,2017-18,DET
36305,0,21.0,Tyler Bertuzzi,0,7,0,LW,2016-17,DET
36306,17,22.0,Tyler Bertuzzi,7,48,24,LW,2017-18,DET
37322,9,23.0,Xavier Ouellet,3,66,12,D,2016-17,DET
37323,7,24.0,Xavier Ouellet,0,45,7,D,2017-18,DET
