,A,Age,Full_Name,G,GP,PTS,Pos,Season,Team
29,0,25.0,Aaron Gagnon,0,7,0,C,2011-12,WPG
30,0,26.0,Aaron Gagnon,3,10,3,C,2012-13,WPG
122,0,22.0,Adam Almqvist,1,2,1,D,2013-14,DET
248,12,21.0,Adam Lowry,11,80,23,LW,2014-15,WPG
249,10,22.0,Adam Lowry,7,74,17,C,2015-16,WPG
250,14,23.0,Adam Lowry,15,82,29,C,2016-17,WPG
251,13,24.0,Adam Lowry,8,45,21,C,2017-18,WPG
296,6,29.0,Adam Pardy,0,60,6,D,2013-14,WPG
297,9,30.0,Adam Pardy,0,55,9,D,2014-15,WPG
802,15,20.0,Alexander Burmistrov,13,76,28,C,2011-12,WPG
803,6,21.0,Alexander Burmistrov,4,44,10,C,2012-13,WPG
804,14,24.0,Alexander Burmistrov,7,81,21,C,2015-16,WPG
805,2,25.0,Alexander Burmistrov,0,23,2,C,2016-17,WPG
1065,0,22.0,Alexey Marchenko,0,1,0,D,2013-14,DET
1066,1,23.0,Alexey Marchenko,1,13,2,D,2014-15,DET
1067,9,24.0,Alexey Marchenko,2,66,11,D,2015-16,DET
1291,5,21.0,Andreas Athanasiou,9,37,14,C,2015-16,DET
1292,11,22.0,Andreas Athanasiou,18,64,29,C,2016-17,DET
1293,17,23.0,Andreas Athanasiou,16,71,33,LW,2017-18,DET
1329,1,34.0,Andreas Lilja,1,20,2,D,2009-10,DET
1525,1,20.0,Andrew Copp,0,1,1,C,2014-15,WPG
1526,6,21.0,Andrew Copp,7,77,13,C,2015-16,WPG
1527,8,22.0,Andrew Copp,9,64,17,C,2016-17,WPG
1528,19,23.0,Andrew Copp,9,82,28,C,2017-18,WPG
1578,22,26.0,Andrew Ladd,28,82,50,LW,2011-12,WPG
1579,28,27.0,Andrew Ladd,18,48,46,LW,2012-13,WPG
1580,31,28.0,Andrew Ladd,23,78,54,LW,2013-14,WPG
1581,38,29.0,Andrew Ladd,24,81,62,LW,2014-15,WPG
1752,1,21.0,Anthony Mantha,2,10,3,RW,2015-16,DET
1753,19,22.0,Anthony Mantha,17,60,36,RW,2016-17,DET
1754,24,23.0,Anthony Mantha,24,80,48,RW,2017-18,DET
1755,2,23.0,Anthony Peluso,0,5,2,RW,2012-13,WPG
1756,3,24.0,Anthony Peluso,2,53,5,RW,2013-14,WPG
1757,1,25.0,Anthony Peluso,1,49,2,RW,2014-15,WPG
1758,4,26.0,Anthony Peluso,1,35,5,RW,2015-16,WPG
1860,8,31.0,Antti Miettinen,5,45,13,RW,2011-12,WPG
1861,2,32.0,Antti Miettinen,3,22,5,RW,2012-13,WPG
1942,0,23.0,Arturs Kulda,0,9,0,D,2011-12,WPG
2152,0,22.0,Ben Chiarot,0,1,0,D,2013-14,WPG
2153,6,23.0,Ben Chiarot,2,40,8,D,2014-15,WPG
2154,9,24.0,Ben Chiarot,1,70,10,D,2015-16,WPG
2155,10,25.0,Ben Chiarot,2,59,12,D,2016-17,WPG
2156,12,26.0,Ben Chiarot,2,57,14,D,2017-18,WPG
2225,1,29.0,Ben Street,0,6,1,C,2016-17,DET
2872,47,25.0,Blake Wheeler,17,80,64,RW,2011-12,WPG
2873,22,26.0,Blake Wheeler,19,48,41,RW,2012-13,WPG
2874,41,27.0,Blake Wheeler,28,82,69,RW,2013-14,WPG
2875,35,28.0,Blake Wheeler,26,79,61,RW,2014-15,WPG
2876,52,29.0,Blake Wheeler,26,82,78,RW,2015-16,WPG
2877,48,30.0,Blake Wheeler,26,82,74,RW,2016-17,WPG
2878,68,31.0,Blake Wheeler,23,81,91,RW,2017-18,WPG
3879,1,38.0,Brad May,0,40,1,LW,2009-10,DET
3952,18,35.0,Brad Richards,10,68,28,C,2015-16,DET
4019,16,30.0,Brad Stuart,4,82,20,D,2009-10,DET
4020,17,31.0,Brad Stuart,3,67,20,D,2010-11,DET
4021,15,32.0,Brad Stuart,6,81,21,D,2011-12,DET
4154,0,24.0,Brandon Tanev,0,3,0,LW,2015-16,WPG
4155,2,25.0,Brandon Tanev,2,51,4,LW,2016-17,WPG
4156,10,26.0,Brandon Tanev,8,61,18,LW,2017-18,WPG
4232,0,21.0,Brendan Lemieux,1,9,1,LW,2017-18,WPG
4277,6,22.0,Brendan Smith,1,14,7,D,2011-12,DET
4278,8,23.0,Brendan Smith,0,34,8,D,2012-13,DET
4279,14,24.0,Brendan Smith,5,71,19,D,2013-14,DET
4280,9,25.0,Brendan Smith,4,76,13,D,2014-15,DET
4281,12,26.0,Brendan Smith,3,63,15,D,2015-16,DET
4538,0,25.0,Brett Festerling,0,5,0,D,2011-12,WPG
4574,7,28.0,Brett Lebda,1,63,8,D,2009-10,DET
4585,2,23.0,Brett Maclean,0,5,2,LW,2011-12,WPG
4798,4,22.0,Brian Lashoff,1,31,5,D,2012-13,DET
